restaurant_id,name,cuisine_type,rating,price_range,location,average_cost,reviews_count,dietary_options,specialties,opening_hours
r1575,Pearl,CHINESE,9.1,Low,Riverside,23.07,962,"Vegetarian, Vegan","Dim Sum, Fried Rice, Noodles",11 AM - 10 PM
r1576,China 326,CHINESE,8.5,Low,City Center,29.71,783,"Vegetarian, Vegan","Peking Duck, Dim Sum, Noodles",12 AM - 10 PM
r1577,Dragon 327,CHINESE,9.1,High,Financial District,75.19,381,"Vegetarian, Vegan","Peking Duck, Fried Rice, Noodles",9 AM - 11 PM
r1578,Dragon,CHINESE,9.7,Low,City Center,22.89,707,Organic,"Fried Rice, Noodles, Dim Sum",9 AM - 11 PM
r1579,Golden Dragon 329,CHINESE,9.9,Medium,Uptown,48.33,630,"Halal, Kosher","Dim Sum, Noodles, Fried Rice",11 AM - 11 PM
r1580,Pearl 330,CHINESE,9.6,Medium,Tech Park,46.83,988,"Organic, Vegetarian","Fried Rice, Peking Duck, Dim Sum",12 AM - 10 PM
r1581,Mandarin,CHINESE,8.7,Medium,Chinatown,42.51,912,"Halal, Gluten-free, Vegan, Kosher","Peking Duck, Fried Rice, Noodles",11 AM - 10 PM
r1582,Pearl 332,CHINESE,9.1,Medium,City Center,57.72,77,"Gluten-free, Low-Carb","Peking Duck, Noodles, Dim Sum",9 AM - 11 PM
r1583,Dragon 333,CHINESE,9.2,Very High,Tech Park,125.64,311,"Vegetarian, Vegan","Dim Sum, Noodles, Fried Rice",9 AM - 10 PM
r1584,The Chinese Place,CHINESE,9.9,High,Suburban,89.85,625,"Halal, Gluten-free, Vegan, Kosher","Fried Rice, Dim Sum, Noodles",11 AM - 10 PM
r1585,China 335,CHINESE,9.6,High,Uptown,70.86,123,"Halal, Kosher","Fried Rice, Peking Duck, Noodles",9 AM - 11 PM
r1586,Dragon 336,CHINESE,9.8,Low,Tech Park,18.81,862,"Halal, Kosher","Fried Rice, Dim Sum, Peking Duck",11 AM - 10 PM
r1587,Mandarin,CHINESE,9.0,Low,Harbor,26.69,584,"Vegan, Gluten-free","Dim Sum, Fried Rice, Noodles",9 AM - 10 PM
r1588,Mandarin 338,CHINESE,8.9,Very High,Downtown,174.8,967,"Organic, Vegetarian","Peking Duck, Fried Rice, Dim Sum",11 AM - 11 PM
r1589,China 339,CHINESE,8.7,Very High,Arts District,160.98,340,"Halal, Kosher","Peking Duck, Noodles, Fried Rice",12 AM - 11 PM
r1590,Golden Dragon,CHINESE,9.5,Medium,Uptown,35.48,289,"Halal, Kosher","Noodles, Fried Rice, Dim Sum",9 AM - 10 PM
r1591,Pearl 341,CHINESE,8.5,Very High,Mountain View,199.15,577,"Vegan, Gluten-free","Fried Rice, Dim Sum, Noodles",10 AM - 11 PM
r1592,Pearl 342,CHINESE,9.7,Very High,Harbor,189.07,306,"Organic, Vegetarian","Fried Rice, Noodles, Dim Sum",11 AM - 10 PM
r1593,Mandarin,CHINESE,9.1,Low,Mountain View,11.76,727,"Organic, Vegetarian","Peking Duck, Fried Rice, Dim Sum",9 AM - 11 PM
r1594,Red Lantern 344,CHINESE,8.8,Medium,Chinatown,33.98,258,"Halal, Kosher","Noodles, Fried Rice, Peking Duck",10 AM - 10 PM
r1595,Pearl 345,CHINESE,8.5,High,Entertainment District,87.77,718,"Organic, Vegetarian","Fried Rice, Noodles, Dim Sum",9 AM - 10 PM
r1596,Golden Dragon,CHINESE,9.5,Very High,Downtown,136.1,941,"Organic, Vegetarian","Fried Rice, Peking Duck, Noodles",11 AM - 10 PM
r1597,Golden Dragon 347,CHINESE,9.8,Low,Riverside,21.12,733,"Gluten-free, Low-Carb","Peking Duck, Noodles, Fried Rice",12 AM - 10 PM
r1598,Red Lantern 348,CHINESE,9.1,Medium,Uptown,46.61,499,"Halal, Kosher","Noodles, Fried Rice, Peking Duck",10 AM - 11 PM
r1599,Red Lantern,CHINESE,8.7,High,Downtown,64.81,148,Organic,"Fried Rice, Dim Sum, Peking Duck",12 AM - 11 PM
r1600,Pearl 350,CHINESE,9.6,High,Entertainment District,86.12,138,"Gluten-free, Low-Carb","Dim Sum, Peking Duck, Noodles",12 AM - 10 PM
r1601,China 351,CHINESE,8.7,Very High,Suburban,187.34,863,"Halal, Kosher","Noodles, Fried Rice, Dim Sum",10 AM - 10 PM
r1602,Mandarin,CHINESE,8.8,Very High,Old Town,184.3,318,Organic,"Dim Sum, Peking Duck, Fried Rice",9 AM - 10 PM
r1603,Red Lantern 353,CHINESE,10.0,Medium,Mountain View,37.39,801,"Organic, Vegetarian","Peking Duck, Dim Sum, Noodles",10 AM - 10 PM
r1604,China 354,CHINESE,8.8,Very High,Chinatown,149.71,908,"Gluten-free, Low-Carb","Peking Duck, Dim Sum, Fried Rice",11 AM - 11 PM
r1605,China 355,CHINESE,9.3,Very High,Beach Area,195.75,966,"Vegetarian, Vegan","Noodles, Fried Rice, Peking Duck",9 AM - 10 PM
r1606,Golden Dragon 356,CHINESE,10.0,Very High,Arts District,167.15,529,"Organic, Kosher, Low-Carb","Peking Duck, Noodles, Fried Rice",11 AM - 11 PM
r1607,Dragon 357,CHINESE,9.1,Low,Mountain View,23.05,352,"Halal, Kosher","Fried Rice, Peking Duck, Dim Sum",12 AM - 11 PM
r1608,Red Lantern,CHINESE,9.6,High,Mountain View,60.8,904,"Vegan, Gluten-free","Noodles, Peking Duck, Fried Rice",10 AM - 10 PM
r1609,Mandarin 359,CHINESE,9.2,Low,Uptown,18.27,789,"Halal, Kosher","Peking Duck, Fried Rice, Noodles",10 AM - 11 PM
r1610,Red Lantern 360,CHINESE,9.9,Medium,Beach Area,53.67,801,"Vegetarian, Vegan","Dim Sum, Peking Duck, Fried Rice",9 AM - 10 PM
r1611,Golden Dragon,CHINESE,8.8,High,Uptown,93.97,800,"Halal, Kosher","Fried Rice, Dim Sum, Noodles",10 AM - 10 PM
r1612,Pearl 362,CHINESE,8.9,Low,Arts District,20.81,103,"Vegan, Gluten-free","Dim Sum, Peking Duck, Noodles",11 AM - 10 PM
r1613,Dragon 363,CHINESE,8.8,High,Old Town,84.25,493,"Organic, Vegetarian","Peking Duck, Dim Sum, Noodles",10 AM - 11 PM
r1614,Red Lantern,CHINESE,9.6,Low,Beach Area,15.82,566,Organic,"Noodles, Peking Duck, Dim Sum",9 AM - 11 PM
r1615,Golden Dragon 365,CHINESE,9.8,Medium,Entertainment District,32.8,656,"Halal, Kosher","Peking Duck, Fried Rice, Dim Sum",11 AM - 11 PM
r1616,China 366,CHINESE,9.3,Low,Old Town,13.14,129,"Halal, Kosher","Noodles, Dim Sum, Fried Rice",10 AM - 11 PM
r1617,The Chinese Place,CHINESE,8.8,Low,Downtown,26.87,773,"Vegan, Gluten-free","Fried Rice, Peking Duck, Noodles",11 AM - 11 PM
r1618,China 368,CHINESE,9.2,Low,Financial District,27.9,253,"Organic, Kosher, Low-Carb","Noodles, Dim Sum, Peking Duck",11 AM - 10 PM
r1619,Dragon 369,CHINESE,8.8,High,Tech Park,77.81,863,"Halal, Kosher","Fried Rice, Noodles, Dim Sum",10 AM - 10 PM
r1620,Red Lantern,CHINESE,9.9,Low,Riverside,14.64,875,"Organic, Vegetarian","Peking Duck, Fried Rice, Noodles",11 AM - 10 PM
r1621,Dragon 371,CHINESE,9.9,Low,Uptown,20.45,54,"Vegan, Gluten-free","Dim Sum, Fried Rice, Peking Duck",9 AM - 11 PM
r1622,Pearl 372,CHINESE,9.5,High,Riverside,93.12,102,"Organic, Vegetarian","Dim Sum, Peking Duck, Fried Rice",10 AM - 11 PM
r1623,Golden Dragon,CHINESE,9.9,High,Downtown,75.0,398,"Vegan, Gluten-free","Peking Duck, Dim Sum, Fried Rice",10 AM - 10 PM
r1624,Mandarin 374,CHINESE,8.7,Medium,Financial District,49.43,605,"Organic, Kosher, Low-Carb","Dim Sum, Peking Duck, Fried Rice",11 AM - 11 PM
r1625,Dragon 375,CHINESE,9.7,Medium,Entertainment District,45.53,215,"Halal, Kosher","Noodles, Peking Duck, Fried Rice",12 AM - 10 PM
r1626,Pearl,CHINESE,9.1,Low,Chinatown,21.16,604,Organic,"Noodles, Dim Sum, Fried Rice",9 AM - 10 PM
r1627,Red Lantern 377,CHINESE,9.4,Very High,Riverside,124.59,371,"Gluten-free, Low-Carb","Noodles, Dim Sum, Peking Duck",9 AM - 10 PM
r1628,Red Lantern 378,CHINESE,8.7,High,Tech Park,87.88,121,Organic,"Fried Rice, Noodles, Dim Sum",11 AM - 11 PM
r1629,Dragon,CHINESE,9.9,Medium,Chinatown,46.86,295,"Vegan, Gluten-free","Fried Rice, Dim Sum, Noodles",10 AM - 11 PM
r1630,Golden Dragon 380,CHINESE,9.3,Low,Suburban,27.65,93,"Gluten-free, Low-Carb","Peking Duck, Noodles, Fried Rice",11 AM - 10 PM
r1631,Pearl 381,CHINESE,9.0,Very High,Riverside,129.96,286,"Vegan, Gluten-free","Noodles, Peking Duck, Dim Sum",12 AM - 10 PM
r1632,Mandarin,CHINESE,9.2,High,Beach Area,91.68,83,"Halal, Kosher","Noodles, Dim Sum, Fried Rice",11 AM - 11 PM
r1633,Pearl 383,CHINESE,8.5,High,Chinatown,87.15,953,"Vegetarian, Vegan","Peking Duck, Noodles, Dim Sum",12 AM - 10 PM
r1634,Dragon 384,CHINESE,8.7,Low,Beach Area,11.84,465,"Vegetarian, Vegan","Peking Duck, Dim Sum, Fried Rice",11 AM - 11 PM
r1635,China 385,CHINESE,9.3,High,Arts District,60.03,217,"Organic, Vegetarian","Noodles, Fried Rice, Peking Duck",11 AM - 11 PM
r1636,Golden Dragon 386,CHINESE,9.4,Low,Tech Park,16.81,506,"Halal, Kosher","Noodles, Dim Sum, Peking Duck",12 AM - 10 PM
r1637,The Chinese Place 387,CHINESE,9.5,Medium,City Center,40.13,668,"Halal, Kosher","Dim Sum, Fried Rice, Peking Duck",12 AM - 10 PM
r1638,China 388,CHINESE,9.2,High,Downtown,66.39,801,"Halal, Gluten-free, Vegan, Kosher","Peking Duck, Dim Sum, Noodles",11 AM - 10 PM
r1639,Golden Dragon 389,CHINESE,8.6,Very High,Arts District,124.5,949,"Vegan, Gluten-free","Fried Rice, Dim Sum, Noodles",12 AM - 10 PM
r1640,Red Lantern 390,CHINESE,8.8,High,Arts District,64.93,106,"Halal, Gluten-free, Vegan, Kosher","Fried Rice, Dim Sum, Noodles",9 AM - 11 PM
r1641,Red Lantern,CHINESE,9.0,Medium,Uptown,49.92,766,"Gluten-free, Low-Carb","Noodles, Peking Duck, Dim Sum",12 AM - 11 PM
r1642,Pearl 392,CHINESE,8.9,High,Tech Park,63.04,853,"Organic, Vegetarian","Noodles, Peking Duck, Dim Sum",9 AM - 11 PM
r1643,Pearl 393,CHINESE,9.0,Medium,City Center,48.36,895,"Halal, Kosher","Peking Duck, Fried Rice, Noodles",9 AM - 11 PM
r1644,China 394,CHINESE,8.6,Medium,University Area,42.5,471,"Gluten-free, Low-Carb","Noodles, Dim Sum, Peking Duck",10 AM - 10 PM
r1645,The Chinese Place 395,CHINESE,8.9,High,Harbor,62.07,451,Organic,"Dim Sum, Noodles, Peking Duck",11 AM - 11 PM
r1646,Pearl 396,CHINESE,9.9,Medium,Harbor,39.24,421,"Halal, Gluten-free, Vegan, Kosher","Dim Sum, Noodles, Peking Duck",9 AM - 11 PM
r1647,Mandarin,CHINESE,8.7,High,Old Town,60.51,209,"Vegetarian, Vegan","Noodles, Dim Sum, Peking Duck",11 AM - 11 PM
r1648,Pearl 398,CHINESE,9.9,Very High,Mountain View,126.35,170,"Vegetarian, Vegan","Fried Rice, Peking Duck, Dim Sum",9 AM - 11 PM
r1649,Golden Dragon 399,CHINESE,8.8,Very High,Suburban,117.51,99,"Halal, Kosher","Dim Sum, Peking Duck, Fried Rice",10 AM - 11 PM
r1650,The Chinese Place,CHINESE,8.9,Medium,Suburban,42.44,940,"Gluten-free, Low-Carb","Noodles, Fried Rice, Dim Sum",10 AM - 11 PM
r1651,Dragon 401,CHINESE,8.7,High,Mountain View,69.46,372,"Gluten-free, Low-Carb","Noodles, Dim Sum, Fried Rice",11 AM - 10 PM
r1652,Pearl 402,CHINESE,8.9,Very High,Chinatown,106.33,685,Organic,"Peking Duck, Fried Rice, Dim Sum",11 AM - 10 PM
r1653,Mandarin,CHINESE,9.0,Low,Financial District,17.51,428,"Gluten-free, Low-Carb","Peking Duck, Fried Rice, Noodles",12 AM - 11 PM
r1654,China 404,CHINESE,8.9,Low,Entertainment District,23.35,489,"Organic, Kosher, Low-Carb","Noodles, Fried Rice, Dim Sum",10 AM - 10 PM
r1655,The Chinese Place 405,CHINESE,8.7,Medium,Arts District,44.32,415,"Halal, Kosher","Peking Duck, Fried Rice, Dim Sum",12 AM - 11 PM
r1656,Pearl,CHINESE,9.4,Very High,Uptown,173.25,79,"Halal, Gluten-free, Vegan, Kosher","Dim Sum, Peking Duck, Noodles",12 AM - 10 PM
r1657,Dragon 407,CHINESE,9.1,High,Beach Area,84.97,591,"Organic, Vegetarian","Dim Sum, Peking Duck, Fried Rice",11 AM - 11 PM
r1658,Pearl 408,CHINESE,8.9,Medium,Mountain View,41.71,514,"Vegetarian, Vegan","Noodles, Fried Rice, Peking Duck",11 AM - 11 PM
r1659,Pearl,CHINESE,9.9,Very High,Arts District,188.52,325,"Gluten-free, Low-Carb","Fried Rice, Noodles, Peking Duck",9 AM - 10 PM
r1660,Red Lantern 410,CHINESE,9.0,Medium,Uptown,45.83,463,"Vegan, Gluten-free","Dim Sum, Peking Duck, Fried Rice",9 AM - 11 PM
r1661,Dragon 411,CHINESE,8.6,Medium,Entertainment District,41.72,608,"Organic, Vegetarian","Peking Duck, Fried Rice, Noodles",9 AM - 10 PM
r1662,Mandarin,CHINESE,9.2,Very High,University Area,146.07,531,"Gluten-free, Low-Carb","Peking Duck, Dim Sum, Fried Rice",10 AM - 10 PM
r1663,The Chinese Place 413,CHINESE,9.6,Low,City Center,29.67,819,"Halal, Kosher","Dim Sum, Fried Rice, Noodles",9 AM - 11 PM
r1664,Mandarin 414,CHINESE,8.9,Very High,Harbor,132.3,276,"Organic, Vegetarian","Fried Rice, Noodles, Dim Sum",12 AM - 10 PM
r1665,Mandarin,CHINESE,9.8,High,Uptown,74.29,451,"Gluten-free, Low-Carb","Dim Sum, Peking Duck, Noodles",11 AM - 11 PM
r1666,China 416,CHINESE,8.5,Low,City Center,24.04,807,"Vegan, Gluten-free","Peking Duck, Fried Rice, Dim Sum",10 AM - 10 PM
r1667,Mandarin 417,CHINESE,8.8,High,Harbor,73.39,322,"Halal, Gluten-free, Vegan, Kosher","Noodles, Peking Duck, Dim Sum",11 AM - 11 PM
r1668,Mandarin,CHINESE,9.4,High,Entertainment District,84.37,754,"Halal, Kosher","Fried Rice, Dim Sum, Noodles",12 AM - 11 PM
r1669,Mandarin 419,CHINESE,8.9,Very High,Arts District,145.58,948,"Halal, Kosher","Noodles, Peking Duck, Dim Sum",12 AM - 10 PM
r1670,The Chinese Place 420,CHINESE,9.8,Very High,Tech Park,149.26,525,"Halal, Gluten-free, Vegan, Kosher","Fried Rice, Peking Duck, Dim Sum",10 AM - 11 PM
r1671,Pearl,CHINESE,9.0,Low,Riverside,24.67,696,"Vegan, Gluten-free","Noodles, Fried Rice, Dim Sum",9 AM - 11 PM
r1672,Golden Dragon 422,CHINESE,9.8,Very High,Beach Area,176.17,819,Organic,"Fried Rice, Noodles, Peking Duck",9 AM - 11 PM
r1673,The Chinese Place 423,CHINESE,9.2,Medium,City Center,45.61,777,"Halal, Gluten-free, Vegan, Kosher","Noodles, Dim Sum, Fried Rice",10 AM - 10 PM
r1674,The Chinese Place,CHINESE,9.9,Very High,Mountain View,188.89,208,"Organic, Kosher, Low-Carb","Noodles, Peking Duck, Fried Rice",9 AM - 11 PM
r1675,Pearl 425,CHINESE,9.7,Low,Old Town,29.71,392,"Halal, Kosher","Peking Duck, Noodles, Fried Rice",10 AM - 11 PM
r1676,Red Lantern 426,CHINESE,10.0,High,Downtown,64.18,549,"Gluten-free, Low-Carb","Fried Rice, Noodles, Dim Sum",11 AM - 11 PM
r1677,Dragon,CHINESE,9.3,Low,Uptown,22.48,632,"Halal, Kosher","Noodles, Fried Rice, Dim Sum",11 AM - 10 PM
r1678,Mandarin 428,CHINESE,8.8,Medium,Downtown,45.6,462,"Organic, Kosher, Low-Carb","Noodles, Peking Duck, Fried Rice",9 AM - 11 PM
r1679,Mandarin 429,CHINESE,9.3,Low,Entertainment District,21.97,728,"Halal, Gluten-free, Vegan, Kosher","Fried Rice, Noodles, Peking Duck",11 AM - 11 PM
r1680,Red Lantern,CHINESE,8.8,High,Arts District,88.91,543,"Gluten-free, Low-Carb","Fried Rice, Dim Sum, Peking Duck",9 AM - 11 PM
r1681,Golden Dragon 431,CHINESE,9.8,Low,Uptown,17.66,540,"Halal, Kosher","Dim Sum, Peking Duck, Noodles",11 AM - 10 PM
r1682,Pearl 432,CHINESE,9.3,Medium,Suburban,39.72,876,"Organic, Kosher, Low-Carb","Peking Duck, Noodles, Dim Sum",11 AM - 11 PM
r1683,China 433,CHINESE,8.7,Medium,Tech Park,33.61,124,"Vegan, Gluten-free","Dim Sum, Fried Rice, Peking Duck",9 AM - 10 PM
r1684,Dragon 434,CHINESE,9.6,Very High,Arts District,133.39,558,"Halal, Kosher","Fried Rice, Dim Sum, Peking Duck",10 AM - 11 PM
r1685,Golden Dragon 435,CHINESE,9.8,High,Downtown,98.89,954,"Organic, Vegetarian","Dim Sum, Peking Duck, Fried Rice",11 AM - 10 PM
r1686,Pearl,CHINESE,8.8,High,Downtown,98.43,481,"Gluten-free, Low-Carb","Peking Duck, Dim Sum, Noodles",12 AM - 10 PM
r1687,Dragon 437,CHINESE,8.9,Medium,City Center,30.06,590,"Gluten-free, Low-Carb","Peking Duck, Fried Rice, Noodles",10 AM - 11 PM
r1688,Dragon 438,CHINESE,8.7,High,Downtown,72.4,368,"Halal, Kosher","Fried Rice, Dim Sum, Peking Duck",12 AM - 10 PM
r1689,Golden Dragon,CHINESE,9.7,Medium,Beach Area,55.09,527,"Organic, Kosher, Low-Carb","Noodles, Peking Duck, Fried Rice",10 AM - 10 PM
r1690,Pearl 440,CHINESE,9.0,High,Chinatown,94.97,75,"Organic, Kosher, Low-Carb","Noodles, Fried Rice, Dim Sum",12 AM - 10 PM
r1691,The Chinese Place 441,CHINESE,9.8,Medium,Beach Area,50.47,789,"Vegetarian, Vegan","Noodles, Dim Sum, Peking Duck",9 AM - 10 PM
r1692,China 442,CHINESE,9.9,Low,Downtown,12.59,294,"Organic, Kosher, Low-Carb","Fried Rice, Peking Duck, Dim Sum",12 AM - 11 PM
r1693,China 443,CHINESE,9.6,Very High,Financial District,128.31,493,"Halal, Kosher","Dim Sum, Noodles, Fried Rice",12 AM - 10 PM
r1694,Mandarin 444,CHINESE,9.8,High,University Area,77.62,681,"Organic, Vegetarian","Fried Rice, Peking Duck, Noodles",10 AM - 11 PM
r1695,Mandarin,CHINESE,8.8,Very High,Harbor,196.37,812,"Organic, Kosher, Low-Carb","Fried Rice, Dim Sum, Peking Duck",12 AM - 11 PM
r1696,Red Lantern 446,CHINESE,8.6,Low,Chinatown,16.53,303,"Organic, Vegetarian","Peking Duck, Noodles, Dim Sum",11 AM - 10 PM
r1697,Golden Dragon 447,CHINESE,9.7,High,Suburban,60.1,392,"Organic, Vegetarian","Dim Sum, Fried Rice, Noodles",10 AM - 10 PM
r1698,Golden Dragon,CHINESE,9.3,High,City Center,77.2,807,"Gluten-free, Low-Carb","Fried Rice, Peking Duck, Noodles",9 AM - 10 PM
r1699,Red Lantern 449,CHINESE,9.6,High,Downtown,68.8,756,"Organic, Vegetarian","Peking Duck, Fried Rice, Dim Sum",10 AM - 11 PM
r1700,The Chinese Place 450,CHINESE,9.3,Medium,University Area,50.37,462,"Vegan, Gluten-free","Peking Duck, Noodles, Dim Sum",10 AM - 10 PM
r1701,China 451,CHINESE,8.7,Very High,University Area,189.76,502,"Gluten-free, Low-Carb","Fried Rice, Noodles, Dim Sum",10 AM - 11 PM
r1702,Mandarin 452,CHINESE,9.0,Low,City Center,12.21,639,"Vegetarian, Vegan","Peking Duck, Dim Sum, Noodles",10 AM - 10 PM
r1703,Pearl 453,CHINESE,8.6,Low,Tech Park,20.62,221,"Vegetarian, Vegan","Noodles, Dim Sum, Fried Rice",12 AM - 11 PM
r1704,Dragon,CHINESE,8.7,Very High,University Area,152.57,880,"Vegetarian, Vegan","Dim Sum, Noodles, Peking Duck",10 AM - 11 PM
r1705,China 455,CHINESE,8.8,Medium,Beach Area,39.33,365,"Organic, Kosher, Low-Carb","Noodles, Peking Duck, Dim Sum",10 AM - 10 PM
r1706,Red Lantern 456,CHINESE,9.8,Very High,Harbor,132.22,818,"Organic, Vegetarian","Peking Duck, Noodles, Dim Sum",10 AM - 10 PM
r1707,Pearl,CHINESE,9.8,High,Entertainment District,69.72,607,"Gluten-free, Low-Carb","Dim Sum, Noodles, Fried Rice",12 AM - 10 PM
r1708,Mandarin 458,CHINESE,9.0,Very High,Arts District,165.7,967,"Organic, Kosher, Low-Carb","Peking Duck, Dim Sum, Fried Rice",10 AM - 11 PM
r1709,Mandarin 459,CHINESE,8.7,Low,Downtown,14.3,691,"Halal, Gluten-free, Vegan, Kosher","Fried Rice, Peking Duck, Dim Sum",11 AM - 10 PM
r1710,China 460,CHINESE,9.7,Medium,Harbor,54.38,261,Organic,"Fried Rice, Dim Sum, Noodles",9 AM - 11 PM
r1711,Mandarin 461,CHINESE,8.7,Very High,Financial District,152.08,591,"Halal, Gluten-free, Vegan, Kosher","Dim Sum, Peking Duck, Fried Rice",11 AM - 10 PM
r1712,China 462,CHINESE,9.4,Very High,Tech Park,138.34,428,"Organic, Vegetarian","Noodles, Dim Sum, Peking Duck",10 AM - 10 PM
r1713,Pearl,CHINESE,8.5,Very High,Chinatown,120.71,234,"Vegan, Gluten-free","Dim Sum, Fried Rice, Peking Duck",9 AM - 10 PM
r1714,Red Lantern 464,CHINESE,8.6,Medium,Chinatown,34.4,596,"Halal, Gluten-free, Vegan, Kosher","Fried Rice, Peking Duck, Dim Sum",10 AM - 11 PM
r1715,The Chinese Place 465,CHINESE,9.6,Low,Financial District,17.53,972,"Halal, Kosher","Noodles, Dim Sum, Fried Rice",10 AM - 10 PM
r1716,Golden Dragon,CHINESE,10.0,Medium,Mountain View,44.88,279,"Organic, Vegetarian","Fried Rice, Dim Sum, Noodles",10 AM - 10 PM
r1717,The Chinese Place 467,CHINESE,9.6,Very High,Suburban,119.64,142,"Vegetarian, Vegan","Dim Sum, Fried Rice, Peking Duck",12 AM - 11 PM
r1718,The Chinese Place 468,CHINESE,9.3,Very High,Tech Park,196.9,262,"Halal, Kosher","Noodles, Peking Duck, Dim Sum",11 AM - 10 PM
r1719,China 469,CHINESE,8.7,High,Tech Park,68.05,237,"Vegetarian, Vegan","Fried Rice, Dim Sum, Noodles",9 AM - 10 PM
r1720,Mandarin 470,CHINESE,8.5,Medium,Arts District,48.82,693,"Organic, Kosher, Low-Carb","Fried Rice, Peking Duck, Noodles",9 AM - 11 PM
r1721,Dragon 471,CHINESE,9.4,Low,Tech Park,20.55,533,Organic,"Dim Sum, Noodles, Peking Duck",9 AM - 10 PM
r1722,Dragon,CHINESE,8.5,Very High,Arts District,148.64,873,"Vegan, Gluten-free","Fried Rice, Dim Sum, Peking Duck",12 AM - 10 PM
r1723,The Chinese Place 473,CHINESE,9.6,Medium,Financial District,30.37,169,Organic,"Fried Rice, Noodles, Dim Sum",10 AM - 11 PM
r1724,Dragon 474,CHINESE,9.6,Medium,Old Town,50.32,455,Organic,"Dim Sum, Peking Duck, Noodles",11 AM - 10 PM
r1725,China 475,CHINESE,9.9,Very High,Old Town,132.17,897,"Vegan, Gluten-free","Dim Sum, Noodles, Peking Duck",11 AM - 11 PM
r1726,China 476,CHINESE,8.8,Medium,Entertainment District,58.38,212,"Halal, Gluten-free, Vegan, Kosher","Noodles, Fried Rice, Peking Duck",9 AM - 10 PM
r1727,Mandarin 477,CHINESE,9.1,High,Downtown,84.6,811,"Organic, Vegetarian","Peking Duck, Fried Rice, Noodles",10 AM - 11 PM
r1728,Mandarin,CHINESE,9.7,Very High,Entertainment District,115.63,259,"Organic, Kosher, Low-Carb","Fried Rice, Noodles, Peking Duck",9 AM - 10 PM
r1729,Red Lantern 479,CHINESE,9.4,Medium,Downtown,49.67,122,Organic,"Peking Duck, Noodles, Dim Sum",10 AM - 11 PM
r1730,Mandarin 480,CHINESE,9.7,Medium,Beach Area,43.39,656,"Organic, Kosher, Low-Carb","Fried Rice, Noodles, Peking Duck",10 AM - 11 PM
r1731,The Chinese Place,CHINESE,9.1,High,Harbor,82.85,331,"Halal, Kosher","Noodles, Peking Duck, Fried Rice",11 AM - 10 PM
r1732,China 482,CHINESE,9.0,High,Mountain View,76.21,205,"Halal, Kosher","Peking Duck, Dim Sum, Fried Rice",9 AM - 10 PM
r1733,China 483,CHINESE,9.8,High,Suburban,78.26,932,"Vegetarian, Vegan","Dim Sum, Noodles, Fried Rice",10 AM - 11 PM
r1734,Dragon,CHINESE,9.4,Medium,Arts District,31.05,318,"Vegetarian, Vegan","Fried Rice, Noodles, Peking Duck",9 AM - 11 PM
r1735,China 485,CHINESE,9.5,Low,Tech Park,22.27,832,Organic,"Fried Rice, Dim Sum, Peking Duck",10 AM - 11 PM
r1736,Pearl 486,CHINESE,9.1,Medium,Entertainment District,38.33,149,"Organic, Vegetarian","Noodles, Dim Sum, Peking Duck",9 AM - 11 PM
r1737,Golden Dragon,CHINESE,9.7,High,Arts District,95.24,358,"Organic, Kosher, Low-Carb","Noodles, Dim Sum, Fried Rice",11 AM - 11 PM
r1738,Pearl 488,CHINESE,9.3,High,Tech Park,85.7,808,"Organic, Kosher, Low-Carb","Dim Sum, Fried Rice, Noodles",10 AM - 11 PM
r1739,Red Lantern 489,CHINESE,9.7,High,Harbor,66.95,622,"Organic, Vegetarian","Peking Duck, Noodles, Fried Rice",9 AM - 10 PM
r1740,Golden Dragon,CHINESE,9.3,Very High,Entertainment District,123.49,843,"Halal, Gluten-free, Vegan, Kosher","Peking Duck, Dim Sum, Noodles",11 AM - 10 PM
r1741,Red Lantern 491,CHINESE,8.6,Very High,University Area,135.24,391,"Organic, Vegetarian","Peking Duck, Noodles, Dim Sum",10 AM - 11 PM
r1742,The Chinese Place 492,CHINESE,8.8,High,Old Town,66.89,910,"Gluten-free, Low-Carb","Dim Sum, Peking Duck, Fried Rice",12 AM - 10 PM
r1743,China 493,CHINESE,9.1,High,Entertainment District,96.77,133,"Organic, Vegetarian","Noodles, Fried Rice, Dim Sum",10 AM - 10 PM
r1744,Pearl 494,CHINESE,9.8,Medium,Riverside,42.45,555,"Organic, Vegetarian","Fried Rice, Noodles, Peking Duck",9 AM - 11 PM
r1745,Golden Dragon 495,CHINESE,9.6,Medium,Harbor,39.86,690,"Organic, Kosher, Low-Carb","Peking Duck, Dim Sum, Fried Rice",12 AM - 11 PM
r1746,Pearl,CHINESE,9.6,Very High,Chinatown,164.16,784,"Vegetarian, Vegan","Dim Sum, Peking Duck, Fried Rice",10 AM - 11 PM
r1747,Dragon 497,CHINESE,8.7,Low,Tech Park,28.52,906,"Vegan, Gluten-free","Fried Rice, Peking Duck, Noodles",9 AM - 10 PM
r1748,Mandarin 498,CHINESE,9.6,Very High,Arts District,189.12,281,"Organic, Kosher, Low-Carb","Dim Sum, Peking Duck, Fried Rice",9 AM - 10 PM
r1749,China 499,CHINESE,9.4,Very High,University Area,141.26,779,"Vegan, Gluten-free","Dim Sum, Noodles, Fried Rice",9 AM - 10 PM
